Set: separated, Dataset: 15, Algorithm: mkm+CR, m: 5000, n:5, k:4, out:0.00, Gstr: 13.20, Grex: 25.97, Gmin: 7.61, Sil: 0.94, C-H: 585.32, D-B: 0.08, time: 67.36
Set: separated, Dataset: 16, Algorithm: mkm, m: 5000, n:15, k:14, out:0.00, Gstr: -1.30, Grex: -0.79, Gmin: -1.66, Sil: 0.15, C-H: 27.55, D-B: 1.61, time: 12.82
Set: separated, Dataset: 16, Algorithm: mkm+CR, m: 5000, n:15, k:2, out:0.00, Gstr: 4.38, Grex: 9.36, Gmin: 4.06, Sil: 0.87, C-H: 98.39, D-B: 0.18, time: 532.36
Set: separated, Dataset: 17, Algorithm: mkm, m: 5000, n:5, k:14, out:0.00, Gstr: -1.38, Grex: -0.92, Gmin: -1.49, Sil: 0.17, C-H: 436.34, D-B: 1.74, time: 5.07
Set: separated, Dataset: 17, Algorithm: mkm+CR, m: 5000, n:5, k:4, out:0.00, Gstr: 16.49, Grex: 30.50, Gmin: 13.02, Sil: 0.95, C-H: 1040.55, D-B: 0.06, time: 56.29
Set: separated, Dataset: 18, Algorithm: mkm, m: 5000, n:14, k:14, out:0.00, Gstr: 2.37, Grex: 4.56, Gmin: -1.52, Sil: 0.25, C-H: 193.58, D-B: 1.96, time: 12.09
Set: separated, Dataset: 18, Algorithm: mkm+CR, m: 5000, n:14, k:6, out:0.00, Gstr: 11.93, Grex: 19.48, Gmin: -1.47, Sil: 0.70, C-H: 358.63, D-B: 0.55, time: 215.93
Set: separated, Dataset: 19, Algorithm: mkm, m: 5000, n:21, k:14, out:0.00, Gstr: 0.71, Grex: 1.79, Gmin: -1.54, Sil: 0.16, C-H: 247.98, D-B: 2.43, time: 20.29
Set: separated, Dataset: 19, Algorithm: mkm+CR, m: 5000, n:21, k:6, out:0.00, Gstr: 12.56, Grex: 19.15, Gmin: -1.67, Sil: 0.61, C-H: 481.90, D-B: 1.67, time: 431.10
Set: separated, Dataset: 20, Algorithm: mkm, m: 5000, n:22, k:14, out:0.00, Gstr: -1.48, Grex: -1.28, Gmin: -1.57, Sil: 0.09, C-H: 187.51, D-B: 2.76, time: 21.38
Set: separated, Dataset: 20, Algorithm: mkm+CR, m: 5000, n:22, k:5, out:0.00, Gstr: 16.49, Grex: 24.81, Gmin: -1.55, Sil: 0.83, C-H: 435.43, D-B: 0.89, time: 239.67
