Set: separated, Dataset: 15, Algorithm: ahc+CR, m: 5000, n:5, k:4, out:0.00, Gstr: 13.30, Grex: 26.00, Gmin: 7.69, Sil: 0.94, C-H: 588.19, D-B: 0.08, time: 47.94
Set: separated, Dataset: 16, Algorithm: ahc, m: 5000, n:15, k:14, out:0.00, Gstr: -0.07, Grex: 0.65, Gmin: -0.66, Sil: 0.17, C-H: 14.18, D-B: 0.55, time: 70.13
Set: separated, Dataset: 16, Algorithm: ahc+CR, m: 5000, n:15, k:2, out:0.00, Gstr: 4.43, Grex: 9.37, Gmin: 4.10, Sil: 0.87, C-H: 98.89, D-B: 0.18, time: 396.37
Set: separated, Dataset: 17, Algorithm: ahc, m: 5000, n:5, k:14, out:0.00, Gstr: 1.40, Grex: 3.26, Gmin: -0.22, Sil: 0.31, C-H: 299.41, D-B: 0.48, time: 14.41
Set: separated, Dataset: 17, Algorithm: ahc+CR, m: 5000, n:5, k:4, out:0.00, Gstr: 16.61, Grex: 30.51, Gmin: 13.10, Sil: 0.95, C-H: 1045.59, D-B: 0.06, time: 53.16
Set: separated, Dataset: 18, Algorithm: ahc, m: 5000, n:14, k:14, out:0.00, Gstr: 6.95, Grex: 11.48, Gmin: 0.02, Sil: 0.51, C-H: 150.64, D-B: 0.50, time: 36.16
Set: separated, Dataset: 18, Algorithm: ahc+CR, m: 5000, n:14, k:5, out:0.00, Gstr: 16.59, Grex: 26.64, Gmin: 14.27, Sil: 0.95, C-H: 420.85, D-B: 0.07, time: 107.60
Set: separated, Dataset: 19, Algorithm: ahc, m: 5000, n:21, k:14, out:0.00, Gstr: 0.25, Grex: 0.81, Gmin: 0.02, Sil: 0.25, C-H: 201.97, D-B: 0.57, time: 59.82
Set: separated, Dataset: 19, Algorithm: ahc+CR, m: 5000, n:21, k:4, out:0.00, Gstr: 21.76, Grex: 32.35, Gmin: 20.26, Sil: 0.96, C-H: 704.74, D-B: 0.06, time: 182.14
Set: separated, Dataset: 20, Algorithm: ahc, m: 5000, n:22, k:14, out:0.00, Gstr: 2.67, Grex: 4.39, Gmin: -0.05, Sil: 0.24, C-H: 154.29, D-B: 0.60, time: 57.30
Set: separated, Dataset: 20, Algorithm: ahc+CR, m: 5000, n:22, k:4, out:0.00, Gstr: 19.52, Grex: 29.19, Gmin: 19.16, Sil: 0.95, C-H: 538.88, D-B: 0.07, time: 175.59
