Set: complex, Dataset: 15, Algorithm: gmm+CR, m: 5656, n:8, k:3, out:0.12, Gstr: 12.76, Grex: 29.35, Gmin: 5.51, Sil: 0.95, C-H: 316.10, D-B: 0.07, time: 728.23
Set: complex, Dataset: 16, Algorithm: gmm, m: 5272, n:19, k:14, out:0.00, Gstr: -2.38, Grex: -2.00, Gmin: -6.02, Sil: 0.22, C-H: 1.41, D-B: 10.20, time: 40.78
Set: complex, Dataset: 16, Algorithm: gmm+CR, m: 5272, n:19, k:2, out:0.00, Gstr: -0.88, Grex: 3.26, Gmin: -3.30, Sil: 0.60, C-H: 5.16, D-B: 0.57, time: 12639.29
Set: complex, Dataset: 17, Algorithm: gmm, m: 5442, n:12, k:14, out:0.00, Gstr: -2.01, Grex: -0.79, Gmin: -10.09, Sil: 0.71, C-H: 3.34, D-B: 4.34, time: 22.92
Set: complex, Dataset: 17, Algorithm: gmm+CR, m: 5442, n:12, k:4, out:0.00, Gstr: -0.94, Grex: 2.52, Gmin: -17.36, Sil: 0.71, C-H: 4.04, D-B: 0.74, time: 1076.25
Set: complex, Dataset: 18, Algorithm: gmm, m: 5688, n:22, k:14, out:0.00, Gstr: -2.41, Grex: -1.62, Gmin: -19.24, Sil: 0.56, C-H: 1.53, D-B: 6.28, time: 36.75
Set: complex, Dataset: 18, Algorithm: gmm+CR, m: 5688, n:22, k:4, out:0.00, Gstr: -1.17, Grex: -0.19, Gmin: -38.35, Sil: 0.49, C-H: 1.50, D-B: 0.98, time: 8396.80
Set: complex, Dataset: 19, Algorithm: gmm, m: 5747, n:10, k:14, out:0.00, Gstr: -2.41, Grex: -1.65, Gmin: -14.38, Sil: 0.35, C-H: 1.57, D-B: 11.18, time: 14.66
Set: complex, Dataset: 19, Algorithm: gmm+CR, m: 5747, n:10, k:6, out:0.00, Gstr: -1.44, Grex: 1.24, Gmin: -20.23, Sil: 0.50, C-H: 2.11, D-B: 5.64, time: 1701.34
Set: complex, Dataset: 20, Algorithm: gmm, m: 5486, n:21, k:14, out:0.00, Gstr: -2.84, Grex: -2.11, Gmin: -9.04, Sil: 0.54, C-H: 1.13, D-B: 6.53, time: 48.56
Set: complex, Dataset: 20, Algorithm: gmm+CR, m: 5486, n:21, k:3, out:0.00, Gstr: -1.13, Grex: 2.77, Gmin: -12.69, Sil: 0.62, C-H: 2.86, D-B: 0.77, time: 4119.90
