Set: close, Dataset: 15, Algorithm: gmm+CR, m: 5000, n:11, k:7, out:0.11, Gstr: 4.12, Grex: 6.98, Gmin: 3.57, Sil: 0.84, C-H: 33.03, D-B: 0.23, time: 44.04
Set: close, Dataset: 16, Algorithm: gmm, m: 5000, n:4, k:14, out:0.00, Gstr: 0.33, Grex: 2.16, Gmin: -1.54, Sil: 0.51, C-H: 15.94, D-B: 0.96, time: 4.63
Set: close, Dataset: 16, Algorithm: gmm+CR, m: 5000, n:4, k:6, out:0.14, Gstr: 1.87, Grex: 4.84, Gmin: -0.01, Sil: 0.76, C-H: 25.55, D-B: 0.36, time: 22.88
Set: close, Dataset: 17, Algorithm: gmm, m: 5000, n:3, k:14, out:0.00, Gstr: 1.41, Grex: 4.45, Gmin: -1.47, Sil: 0.66, C-H: 35.85, D-B: 0.66, time: 3.44
Set: close, Dataset: 17, Algorithm: gmm+CR, m: 5000, n:3, k:11, out:0.10, Gstr: 1.43, Grex: 4.61, Gmin: -1.47, Sil: 0.65, C-H: 45.51, D-B: 0.72, time: 13.74
Set: close, Dataset: 18, Algorithm: gmm, m: 5000, n:23, k:14, out:0.00, Gstr: 4.01, Grex: 6.04, Gmin: -1.67, Sil: 0.64, C-H: 29.19, D-B: 1.31, time: 27.55
Set: close, Dataset: 18, Algorithm: gmm+CR, m: 5000, n:23, k:8, out:0.10, Gstr: 6.39, Grex: 9.25, Gmin: 5.09, Sil: 0.87, C-H: 43.92, D-B: 0.18, time: 90.57
Set: close, Dataset: 19, Algorithm: gmm, m: 5000, n:3, k:14, out:0.00, Gstr: 0.31, Grex: 2.41, Gmin: -1.44, Sil: 0.54, C-H: 16.28, D-B: 0.88, time: 3.84
Set: close, Dataset: 19, Algorithm: gmm+CR, m: 5000, n:3, k:7, out:0.14, Gstr: 0.83, Grex: 3.43, Gmin: -1.43, Sil: 0.65, C-H: 21.83, D-B: 0.70, time: 15.17
Set: close, Dataset: 20, Algorithm: gmm, m: 5000, n:10, k:14, out:0.00, Gstr: 1.50, Grex: 3.28, Gmin: -1.60, Sil: 0.54, C-H: 18.22, D-B: 1.40, time: 10.91
Set: close, Dataset: 20, Algorithm: gmm+CR, m: 5000, n:10, k:7, out:0.09, Gstr: 3.10, Grex: 5.66, Gmin: 2.20, Sil: 0.81, C-H: 30.79, D-B: 0.26, time: 46.05
