Set: high-noise, Dataset: 16, Algorithm: ahc, m: 6264, n:7, k:14, out:0.00, Gstr: -0.49, Grex: 0.19, Gmin: -2.61, Sil: 0.28, C-H: 0.00, D-B: 0.52, time: 116.67
Set: high-noise, Dataset: 16, Algorithm: ahc+CR, m: 6264, n:7, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1581.37
Set: high-noise, Dataset: 17, Algorithm: ahc, m: 6117, n:13, k:14, out:0.00, Gstr: -0.19, Grex: 0.15, Gmin: -0.97, Sil: -0.03, C-H: 0.00, D-B: 0.70, time: 217.44
Set: high-noise, Dataset: 17, Algorithm: ahc+CR, m: 6117, n:13, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1251.38
Set: high-noise, Dataset: 18, Algorithm: ahc, m: 6087, n:23, k:14, out:0.00, Gstr: -0.53, Grex: -0.34, Gmin: -1.16, Sil: 0.13, C-H: 0.00, D-B: 0.75, time: 372.20
Set: high-noise, Dataset: 18, Algorithm: ahc+CR, m: 6087, n:23, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1846.38
Set: high-noise, Dataset: 19, Algorithm: ahc, m: 6594, n:6, k:14, out:0.00, Gstr: -0.72, Grex: 0.34, Gmin: -1.29, Sil: -0.01, C-H: 0.00, D-B: 0.61, time: 121.21
Set: high-noise, Dataset: 19, Algorithm: ahc+CR, m: 6594, n:6, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1081.79
Set: high-noise, Dataset: 20, Algorithm: ahc, m: 6432, n:21, k:14, out:0.00, Gstr: -0.63, Grex: -0.42, Gmin: -1.81, Sil: 0.07, C-H: 0.00, D-B: 0.76, time: 401.86
Set: high-noise, Dataset: 20, Algorithm: ahc+CR, m: 6432, n:21, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 4406.25
