Set: complex, Dataset: 15, Algorithm: mkm+CR, m: 5656, n:8, k:4, out:0.11, Gstr: 1.46, Grex: 21.23, Gmin: -2.37, Sil: 0.75, C-H: 67.35, D-B: 0.85, time: 571.95
Set: complex, Dataset: 16, Algorithm: mkm, m: 5272, n:19, k:14, out:0.00, Gstr: -2.02, Grex: -1.31, Gmin: -2.70, Sil: 0.26, C-H: 1.53, D-B: 2.41, time: 42.57
Set: complex, Dataset: 16, Algorithm: mkm+CR, m: 5272, n:19, k:3, out:0.00, Gstr: -1.05, Grex: 0.99, Gmin: -2.86, Sil: 0.34, C-H: 3.59, D-B: 1.48, time: 2673.13
Set: complex, Dataset: 17, Algorithm: mkm, m: 5442, n:12, k:14, out:0.00, Gstr: -1.57, Grex: -0.25, Gmin: -2.36, Sil: 0.77, C-H: 3.48, D-B: 2.16, time: 27.85
Set: complex, Dataset: 17, Algorithm: mkm+CR, m: 5442, n:12, k:4, out:0.00, Gstr: -1.00, Grex: 3.02, Gmin: -4.90, Sil: 0.71, C-H: 4.12, D-B: 0.74, time: 1107.67
Set: complex, Dataset: 18, Algorithm: mkm, m: 5688, n:22, k:14, out:0.00, Gstr: -2.15, Grex: -1.12, Gmin: -6.47, Sil: 0.62, C-H: 1.67, D-B: 2.26, time: 48.78
Set: complex, Dataset: 18, Algorithm: mkm+CR, m: 5688, n:22, k:7, out:0.00, Gstr: -1.10, Grex: 2.29, Gmin: -6.45, Sil: 0.57, C-H: 2.10, D-B: 1.19, time: 3619.01
Set: complex, Dataset: 19, Algorithm: mkm, m: 5747, n:10, k:14, out:0.00, Gstr: -1.46, Grex: -0.56, Gmin: -2.05, Sil: 0.64, C-H: 2.12, D-B: 1.79, time: 20.51
Set: complex, Dataset: 19, Algorithm: mkm+CR, m: 5747, n:10, k:5, out:0.00, Gstr: -1.38, Grex: 2.94, Gmin: -2.79, Sil: 0.62, C-H: 2.90, D-B: 0.86, time: 1269.68
Set: complex, Dataset: 20, Algorithm: mkm, m: 5486, n:21, k:14, out:0.00, Gstr: -2.12, Grex: -1.63, Gmin: -3.97, Sil: 0.43, C-H: 1.16, D-B: 2.88, time: 53.04
Set: complex, Dataset: 20, Algorithm: mkm+CR, m: 5486, n:21, k:3, out:0.00, Gstr: -1.08, Grex: 1.46, Gmin: -6.55, Sil: 0.48, C-H: 2.08, D-B: 0.91, time: 3887.50
