Set: high-noise, Dataset: 15, Algorithm: gmm, m: 6847, n:4, k:14, out:0.00, Gstr: -1.84, Grex: -0.00, Gmin: -36.92, Sil: 0.68, C-H: 3.63, D-B: 1.21, time: 8.75
Set: high-noise, Dataset: 15, Algorithm: gmm+CR, m: 6847, n:4, k:6, out:0.27, Gstr: 71.43, Grex: 128.30, Gmin: 47.76, Sil: 0.99, C-H: 17464.46, D-B: 0.02, time: 282.80
Set: high-noise, Dataset: 16, Algorithm: gmm, m: 6264, n:7, k:14, out:0.00, Gstr: -2.42, Grex: -0.81, Gmin: -36.39, Sil: 0.78, C-H: 1.72, D-B: 1.82, time: 32.20
Set: high-noise, Dataset: 16, Algorithm: gmm+CR, m: 6264, n:7, k:3, out:0.20, Gstr: 57.91, Grex: 93.54, Gmin: 51.18, Sil: 0.98, C-H: 6902.09, D-B: 0.02, time: 889.52
Set: high-noise, Dataset: 17, Algorithm: gmm, m: 6117, n:13, k:14, out:0.00, Gstr: -2.20, Grex: -0.81, Gmin: -28.21, Sil: 0.79, C-H: 2.29, D-B: 1.97, time: 27.28
Set: high-noise, Dataset: 17, Algorithm: gmm+CR, m: 6117, n:13, k:6, out:0.18, Gstr: 74.22, Grex: 109.08, Gmin: 65.61, Sil: 0.99, C-H: 5743.90, D-B: 0.02, time: 493.09
Set: high-noise, Dataset: 18, Algorithm: gmm, m: 6087, n:23, k:14, out:0.00, Gstr: -2.24, Grex: -1.31, Gmin: -19.28, Sil: 0.80, C-H: 1.86, D-B: 2.65, time: 57.01
Set: high-noise, Dataset: 18, Algorithm: gmm+CR, m: 6087, n:23, k:4, out:0.18, Gstr: 80.28, Grex: 106.62, Gmin: 76.46, Sil: 0.99, C-H: 7144.01, D-B: 0.02, time: 1146.30
Set: high-noise, Dataset: 19, Algorithm: gmm, m: 6594, n:6, k:14, out:0.00, Gstr: -2.01, Grex: -0.41, Gmin: -29.91, Sil: 0.75, C-H: 2.17, D-B: 1.48, time: 23.48
Set: high-noise, Dataset: 19, Algorithm: gmm+CR, m: 6594, n:6, k:3, out:0.24, Gstr: 77.43, Grex: 129.78, Gmin: 68.91, Sil: 0.99, C-H: 11250.43, D-B: 0.02, time: 656.65
Set: high-noise, Dataset: 20, Algorithm: gmm, m: 6432, n:21, k:14, out:0.00, Gstr: -2.33, Grex: -1.53, Gmin: -38.92, Sil: 0.75, C-H: 1.34, D-B: 2.48, time: 58.95
Set: high-noise, Dataset: 20, Algorithm: gmm+CR, m: 6432, n:21, k:6, out:0.22, Gstr: 96.57, Grex: 130.64, Gmin: 89.72, Sil: 0.99, C-H: 6821.39, D-B: 0.02, time: 1325.51
