Set: close, Dataset: 15, Algorithm: ahc+CR, m: 5000, n:11, k:7, out:0.11, Gstr: 4.13, Grex: 6.99, Gmin: 3.58, Sil: 0.84, C-H: 33.05, D-B: 0.23, time: 40.71
Set: close, Dataset: 16, Algorithm: ahc, m: 5000, n:4, k:14, out:0.00, Gstr: 0.43, Grex: 2.66, Gmin: -0.55, Sil: 0.55, C-H: 7.20, D-B: 0.50, time: 7.29
Set: close, Dataset: 16, Algorithm: ahc+CR, m: 5000, n:4, k:5, out:0.11, Gstr: 0.72, Grex: 4.00, Gmin: 0.07, Sil: 0.75, C-H: 15.40, D-B: 0.39, time: 28.04
Set: close, Dataset: 17, Algorithm: ahc, m: 5000, n:3, k:14, out:0.00, Gstr: 1.76, Grex: 5.21, Gmin: -0.33, Sil: 0.75, C-H: 29.74, D-B: 0.36, time: 3.98
Set: close, Dataset: 17, Algorithm: ahc+CR, m: 5000, n:3, k:9, out:0.07, Gstr: 2.02, Grex: 5.97, Gmin: 0.42, Sil: 0.82, C-H: 45.27, D-B: 0.28, time: 11.26
Set: close, Dataset: 18, Algorithm: ahc, m: 5000, n:23, k:14, out:0.00, Gstr: 5.56, Grex: 8.09, Gmin: 0.02, Sil: 0.82, C-H: 28.84, D-B: 0.31, time: 32.38
Set: close, Dataset: 18, Algorithm: ahc+CR, m: 5000, n:23, k:8, out:0.10, Gstr: 6.40, Grex: 9.25, Gmin: 5.09, Sil: 0.87, C-H: 43.93, D-B: 0.18, time: 86.37
Set: close, Dataset: 19, Algorithm: ahc, m: 5000, n:3, k:14, out:0.00, Gstr: 0.48, Grex: 2.31, Gmin: -0.08, Sil: 0.54, C-H: 8.07, D-B: 0.43, time: 5.45
Set: close, Dataset: 19, Algorithm: ahc+CR, m: 5000, n:3, k:5, out:0.14, Gstr: 0.74, Grex: 3.22, Gmin: 0.18, Sil: 0.72, C-H: 14.75, D-B: 0.45, time: 17.40
Set: close, Dataset: 20, Algorithm: ahc, m: 5000, n:10, k:14, out:0.00, Gstr: 2.48, Grex: 4.64, Gmin: 0.10, Sil: 0.70, C-H: 17.25, D-B: 0.41, time: 14.90
Set: close, Dataset: 20, Algorithm: ahc+CR, m: 5000, n:10, k:7, out:0.09, Gstr: 3.10, Grex: 5.66, Gmin: 2.20, Sil: 0.81, C-H: 30.80, D-B: 0.26, time: 41.75
