Set: low-noise, Dataset: 16, Algorithm: ahc, m: 5748, n:5, k:14, out:0.00, Gstr: -0.78, Grex: -0.18, Gmin: -1.31, Sil: -0.07, C-H: 0.01, D-B: 0.78, time: 74.62
Set: low-noise, Dataset: 16, Algorithm: ahc+CR, m: 5748, n:5, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 999.90
Set: low-noise, Dataset: 17, Algorithm: ahc, m: 5566, n:10, k:14, out:0.00, Gstr: -0.32, Grex: 0.30, Gmin: -1.63, Sil: 0.03, C-H: 0.00, D-B: 0.59, time: 136.65
Set: low-noise, Dataset: 17, Algorithm: ahc+CR, m: 5566, n:10, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 960.62
Set: low-noise, Dataset: 18, Algorithm: ahc, m: 5487, n:15, k:14, out:0.00, Gstr: -1.39, Grex: 0.15, Gmin: -2.38, Sil: 0.22, C-H: 0.06, D-B: 0.86, time: 114.61
Set: low-noise, Dataset: 18, Algorithm: ahc+CR, m: 5487, n:15, k:1, out:0.00, Gstr: -1.39, Grex: 0.14, Gmin: -1.49, Sil: 0.25, C-H: 0.78, D-B: 2.34, time: 1915.60
Set: low-noise, Dataset: 19, Algorithm: ahc, m: 5674, n:4, k:14, out:0.00, Gstr: -0.75, Grex: -0.21, Gmin: -8.20, Sil: -0.24, C-H: 0.01, D-B: 0.70, time: 57.05
Set: low-noise, Dataset: 19, Algorithm: ahc+CR, m: 5674, n:4, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 746.29
Set: low-noise, Dataset: 20, Algorithm: ahc, m: 5271, n:13, k:14, out:0.00, Gstr: -0.47, Grex: -0.03, Gmin: -1.45, Sil: 0.18, C-H: 0.00, D-B: 0.65, time: 162.36
Set: low-noise, Dataset: 20, Algorithm: ahc+CR, m: 5271, n:13, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1136.49
