Set: low-noise, Dataset: 15, Algorithm: mkm, m: 5467, n:12, k:14, out:0.00, Gstr: -2.04, Grex: -1.18, Gmin: -6.99, Sil: 0.63, C-H: 4.08, D-B: 2.33, time: 22.63
Set: low-noise, Dataset: 15, Algorithm: mkm+CR, m: 5467, n:12, k:7, out:0.07, Gstr: 0.41, Grex: 36.22, Gmin: -6.99, Sil: 0.68, C-H: 35.39, D-B: 1.54, time: 235.07
Set: low-noise, Dataset: 16, Algorithm: mkm, m: 5748, n:5, k:14, out:0.00, Gstr: -0.86, Grex: 4.02, Gmin: -1.64, Sil: 0.83, C-H: 5.65, D-B: 1.20, time: 13.22
Set: low-noise, Dataset: 16, Algorithm: mkm+CR, m: 5748, n:5, k:6, out:0.09, Gstr: 0.52, Grex: 50.67, Gmin: -0.04, Sil: 0.91, C-H: 38.50, D-B: 0.14, time: 151.08
Set: low-noise, Dataset: 17, Algorithm: mkm, m: 5566, n:10, k:14, out:0.00, Gstr: -1.34, Grex: 1.34, Gmin: -1.87, Sil: 0.86, C-H: 3.23, D-B: 1.69, time: 24.81
Set: low-noise, Dataset: 17, Algorithm: mkm+CR, m: 5566, n:10, k:5, out:0.08, Gstr: 1.10, Grex: 46.51, Gmin: 0.18, Sil: 0.93, C-H: 33.07, D-B: 0.12, time: 257.59
Set: low-noise, Dataset: 18, Algorithm: mkm, m: 5487, n:15, k:14, out:0.00, Gstr: -2.55, Grex: -2.61, Gmin: -20.27, Sil: 0.87, C-H: 3.21, D-B: 2.04, time: 34.90
Set: low-noise, Dataset: 18, Algorithm: mkm+CR, m: 5487, n:15, k:6, out:0.08, Gstr: 1.83, Grex: 48.67, Gmin: -0.18, Sil: 0.95, C-H: 38.38, D-B: 0.13, time: 372.44
Set: low-noise, Dataset: 19, Algorithm: mkm, m: 5674, n:4, k:14, out:0.00, Gstr: -2.68, Grex: -0.25, Gmin: -5.81, Sil: 0.81, C-H: 6.84, D-B: 1.37, time: 19.80
Set: low-noise, Dataset: 19, Algorithm: mkm+CR, m: 5674, n:4, k:2, out:0.12, Gstr: 6.07, Grex: 79.12, Gmin: 2.52, Sil: 0.97, C-H: 253.45, D-B: 0.05, time: 162.25
Set: low-noise, Dataset: 20, Algorithm: mkm, m: 5271, n:13, k:14, out:0.00, Gstr: -4.03, Grex: -1.56, Gmin: -25.79, Sil: 0.34, C-H: 5.50, D-B: 2.22, time: 28.79
Set: low-noise, Dataset: 20, Algorithm: mkm+CR, m: 5271, n:13, k:4, out:0.02, Gstr: -1.07, Grex: 18.53, Gmin: -3.27, Sil: 0.66, C-H: 11.88, D-B: 1.23, time: 675.41
