Set: low-noise, Dataset: 15, Algorithm: gmm, m: 5467, n:12, k:14, out:0.00, Gstr: -2.99, Grex: -0.60, Gmin: -12.99, Sil: 0.88, C-H: 4.19, D-B: 1.99, time: 27.74
Set: low-noise, Dataset: 15, Algorithm: gmm+CR, m: 5467, n:12, k:5, out:0.09, Gstr: 31.08, Grex: 45.74, Gmin: 25.61, Sil: 0.97, C-H: 1460.49, D-B: 0.04, time: 518.69
Set: low-noise, Dataset: 16, Algorithm: gmm, m: 5748, n:5, k:14, out:0.00, Gstr: -2.09, Grex: 0.95, Gmin: -18.03, Sil: 0.83, C-H: 4.55, D-B: 1.38, time: 12.58
Set: low-noise, Dataset: 16, Algorithm: gmm+CR, m: 5748, n:5, k:6, out:0.13, Gstr: 28.25, Grex: 51.54, Gmin: 15.37, Sil: 0.97, C-H: 2632.00, D-B: 0.04, time: 202.57
Set: low-noise, Dataset: 17, Algorithm: gmm, m: 5566, n:10, k:14, out:0.00, Gstr: -3.39, Grex: -1.18, Gmin: -16.50, Sil: 0.86, C-H: 3.11, D-B: 1.80, time: 24.00
Set: low-noise, Dataset: 17, Algorithm: gmm+CR, m: 5566, n:10, k:5, out:0.10, Gstr: 30.33, Grex: 46.91, Gmin: 28.91, Sil: 0.97, C-H: 1432.47, D-B: 0.04, time: 338.85
Set: low-noise, Dataset: 18, Algorithm: gmm, m: 5487, n:15, k:14, out:0.00, Gstr: -3.22, Grex: -0.99, Gmin: -16.54, Sil: 0.87, C-H: 3.21, D-B: 2.03, time: 34.19
Set: low-noise, Dataset: 18, Algorithm: gmm+CR, m: 5487, n:15, k:5, out:0.13, Gstr: 34.30, Grex: 49.56, Gmin: 29.96, Sil: 0.97, C-H: 1236.38, D-B: 0.04, time: 830.94
Set: low-noise, Dataset: 19, Algorithm: gmm, m: 5674, n:4, k:14, out:0.00, Gstr: -1.71, Grex: 3.42, Gmin: -10.17, Sil: 0.87, C-H: 6.49, D-B: 1.16, time: 19.81
Set: low-noise, Dataset: 19, Algorithm: gmm+CR, m: 5674, n:4, k:2, out:0.12, Gstr: 43.53, Grex: 79.23, Gmin: 39.14, Sil: 0.98, C-H: 4842.67, D-B: 0.03, time: 156.14
Set: low-noise, Dataset: 20, Algorithm: gmm, m: 5271, n:13, k:14, out:0.00, Gstr: -3.74, Grex: -1.30, Gmin: -8.30, Sil: 0.90, C-H: 6.22, D-B: 1.89, time: 40.29
Set: low-noise, Dataset: 20, Algorithm: gmm+CR, m: 5271, n:13, k:3, out:0.05, Gstr: 15.97, Grex: 25.37, Gmin: 13.61, Sil: 0.95, C-H: 716.70, D-B: 0.08, time: 577.75
