Set: separated, Dataset: 15, Algorithm: gmm+CR, m: 5000, n:5, k:4, out:0.00, Gstr: 13.20, Grex: 25.97, Gmin: 7.61, Sil: 0.94, C-H: 585.32, D-B: 0.08, time: 64.92
Set: separated, Dataset: 16, Algorithm: gmm, m: 5000, n:15, k:14, out:0.00, Gstr: -1.52, Grex: -1.16, Gmin: -1.71, Sil: 0.02, C-H: 20.32, D-B: 2.54, time: 13.00
Set: separated, Dataset: 16, Algorithm: gmm+CR, m: 5000, n:15, k:2, out:0.00, Gstr: 4.38, Grex: 9.36, Gmin: 4.06, Sil: 0.87, C-H: 98.39, D-B: 0.18, time: 316.16
Set: separated, Dataset: 17, Algorithm: gmm, m: 5000, n:5, k:14, out:0.00, Gstr: 0.19, Grex: 1.86, Gmin: -1.66, Sil: 0.19, C-H: 419.66, D-B: 1.85, time: 5.43
Set: separated, Dataset: 17, Algorithm: gmm+CR, m: 5000, n:5, k:4, out:0.00, Gstr: 16.49, Grex: 30.50, Gmin: 13.02, Sil: 0.95, C-H: 1040.55, D-B: 0.06, time: 55.84
Set: separated, Dataset: 18, Algorithm: gmm, m: 5000, n:14, k:14, out:0.00, Gstr: -0.32, Grex: 0.55, Gmin: -1.66, Sil: 0.11, C-H: 178.38, D-B: 2.77, time: 12.14
Set: separated, Dataset: 18, Algorithm: gmm+CR, m: 5000, n:14, k:6, out:0.00, Gstr: 14.10, Grex: 22.87, Gmin: -1.49, Sil: 0.84, C-H: 354.57, D-B: 0.81, time: 149.00
Set: separated, Dataset: 19, Algorithm: gmm, m: 5000, n:21, k:14, out:0.00, Gstr: 3.40, Grex: 5.78, Gmin: -1.86, Sil: 0.17, C-H: 216.09, D-B: 4.52, time: 18.66
Set: separated, Dataset: 19, Algorithm: gmm+CR, m: 5000, n:21, k:4, out:0.00, Gstr: 21.63, Grex: 32.34, Gmin: 20.20, Sil: 0.96, C-H: 703.84, D-B: 0.06, time: 245.92
Set: separated, Dataset: 20, Algorithm: gmm, m: 5000, n:22, k:14, out:0.00, Gstr: -1.73, Grex: -1.61, Gmin: -1.84, Sil: 0.01, C-H: 163.44, D-B: 5.19, time: 21.52
Set: separated, Dataset: 20, Algorithm: gmm+CR, m: 5000, n:22, k:4, out:0.00, Gstr: 19.46, Grex: 29.17, Gmin: 19.09, Sil: 0.95, C-H: 538.43, D-B: 0.07, time: 242.54
